event,time,magnitude,e_magnitude,upperlimit,band,instrument,telescope,source
SN2007on,54436.8367,14.071,0.046,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54436.8387,17.703,0.082,F,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54437.20831,13.416,0.005,F,H,,,2010AJ....139..519C
SN2007on,54437.20831,14.044,0.006,F,J,,,2010AJ....139..519C
SN2007on,54437.20831,13.199,0.026,F,Y,,,2010AJ....139..519C
SN2007on,54438.7652,16.610,0.070,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54438.7666,15.749,0.063,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54438.7676,15.337,0.047,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54438.7700,17.794,0.085,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54438.7723,14.268,0.048,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54438.7742,17.769,0.088,F,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54439.18367,13.534,0.006,F,H,,,2010AJ....139..519C
SN2007on,54439.18367,14.066,0.006,F,J,,,2010AJ....139..519C
SN2007on,54439.18367,13.178,0.010,F,Y,,,2010AJ....139..519C
SN2007on,54440.18856,15.480,0.009,F,B,,,2010AJ....139..519C
SN2007on,54440.18856,14.445,0.008,F,V,,,2010AJ....139..519C
SN2007on,54440.18856,15.030,0.008,F,g,,,2010AJ....139..519C
SN2007on,54440.18856,14.080,0.010,F,i,,,2010AJ....139..519C
SN2007on,54440.18856,14.096,0.007,F,r,,,2010AJ....139..519C
SN2007on,54440.18856,16.613,0.021,F,u,,,2010AJ....139..519C
SN2007on,54442.20865,13.832,0.006,F,H,,,2010AJ....139..519C
SN2007on,54442.20865,14.441,0.011,F,J,,,2010AJ....139..519C
SN2007on,54442.20865,13.389,0.011,F,Y,,,2010AJ....139..519C
SN2007on,54442.8502,16.801,0.069,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54442.8522,15.992,0.063,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54442.8534,15.640,0.050,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54442.8560,17.837,0.083,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54442.8594,14.643,0.053,F,V,UVOT,Swift,2014Ap&SS.354...89B
