Name,Band,Background,Background Error,Systematic Error
SDSS-II SN 10559,NUV,1.678122715111693e-17,5.665116348442217e-18,1.1201958119623147e-18
SDSS-II SN 11026,FUV,7.446043825997011e-17,2.4442020946843385e-17,5.212230678197908e-18
SDSS-II SN 11026,NUV,1.1363383188188037e-17,8.255889560635833e-18,7.954368231731626e-19
SDSS-II SN 11098,FUV,1.8992020028782103e-17,9.102229622791472e-18,1.3294414020147472e-18
SDSS-II SN 11098,NUV,1.8633369433684664e-17,1.6877200612655132e-17,7.37424419574954e-18
SDSS-II SN 11156,FUV,9.51248900119958e-18,1.9332312950140008e-17,6.658742300839707e-19
SDSS-II SN 11156,NUV,1.907598065472324e-17,2.10074904702788e-17,9.28636434080944e-18
SDSS-II SN 11181,FUV,5.3614184570646976e-18,2.3420936293906705e-17,3.7529929199452887e-19
SDSS-II SN 11181,NUV,1.8478041166268435e-17,1.306646056957653e-17,1.2934628816387906e-18
SDSS-II SN 11305,FUV,1.2811510975291434e-17,7.808600682379718e-18,2.1413997375120304e-18
SDSS-II SN 11305,NUV,4.8038071499342e-18,2.339875147172009e-17,1.2837450002899962e-17
SDSS-II SN 11317,FUV,1.3304316224292092e-17,9.10697564036009e-18,9.313021357004465e-19
SDSS-II SN 11317,NUV,8.011673317917248e-18,3.2997504868466198e-18,5.608171322542074e-19
SDSS-II SN 11370,FUV,-1.0754623534866242e-18,2.4536047572417502e-18,-7.52823647440637e-20
SDSS-II SN 11370,NUV,7.372703583358986e-18,7.377707176153706e-18,5.16089250835129e-19
SDSS-II SN 11518,FUV,4.336822876541191e-17,3.9048751395285497e-17,3.035776013578834e-18
SDSS-II SN 11518,NUV,4.3930762532527297e-17,1.5924661886388018e-17,3.075153377276911e-18
SDSS-II SN 1166,FUV,1.1476719066307828e-17,1.4598926639761332e-18,2.1157460553720807e-18
SDSS-II SN 1166,NUV,1.2224615644803431e-17,1.786009940412137e-17,6.539688521369822e-18
SDSS-II SN 11771,FUV,2.6552937674551532e-17,3.9241666116164e-17,1.8587056372186074e-18
SDSS-II SN 11771,NUV,3.402565215686488e-17,1.8710094827445488e-17,2.381795650980542e-18
SDSS-II SN 11858,FUV,4.2391469415150565e-17,2.0837844497210168e-17,2.9674028590605397e-18
SDSS-II SN 11858,NUV,3.769386568314661e-17,7.054760923258672e-18,2.6385705978202627e-18
SDSS-II SN 12199,FUV,-8.79179038456133e-18,2.0534853588043503e-17,-6.154253269192931e-19
SDSS-II SN 12199,NUV,4.078236478281855e-17,1.4770058973190754e-17,4.518436726236231e-18
SDSS-II SN 12213,FUV,1.590214882725735e-17,4.061564536904939e-17,1.2584092318424889e-17
SDSS-II SN 12213,NUV,6.767449232083507e-18,2.5139599373287942e-17,8.673956369794071e-18
SDSS-II SN 12804,FUV,3.9358724627249215e-17,7.961331746123854e-18,2.7551107239074455e-18
SDSS-II SN 12804,NUV,4.7675299991783546e-17,3.543257699083698e-18,3.3372709994248486e-18
SDSS-II SN 12852,NUV,2.401702753002317e-17,1.4549513288786446e-17,7.597692173966443e-18
SDSS-II SN 12875,FUV,-2.8234376127210286e-18,1.9054909308277815e-17,-1.9764063289047202e-19
SDSS-II SN 12875,NUV,5.609827717975133e-18,1.0300573143617739e-17,3.9268794025825933e-19
SDSS-II SN 12879,FUV,2.1038880655380467e-17,5.2029332291739086e-18,1.4727216458766327e-18
SDSS-II SN 12879,NUV,1.1531314544223147e-17,2.536875488608038e-17,1.4823652056754035e-17
SDSS-II SN 12936,FUV,2.4382052172211088e-18,4.1799567493720914e-18,1.7067436520547763e-19
SDSS-II SN 12936,NUV,6.2574199737460995e-18,3.048822078941207e-18,2.3637569039324384e-19
