File,SN,Disc. Date,R.A.,Dec.,Category,Total Epochs,Epochs Pre-SN,Epochs Post-SN
SDSS-II_SN_1166-NUV.fits.gz,SDSS-II SN 1166,2005-09-09,0h37m25.35s,0d58m23.8s,pre_post_disc,8,3,5
SDSS-II_SN_11723-FUV.fits.gz,SDSS-II SN 11723,2005-11-19,3h39m15.576s,-0d02m53.1708s,post_disc,3,0,3
SDSS-II_SN_11723-NUV.fits.gz,SDSS-II SN 11723,2005-11-19,3h39m15.576s,-0d02m53.1708s,post_disc,4,0,4
SDSS-II_SN_11771-FUV.fits.gz,SDSS-II SN 11771,2005-11-19,1h00m55.35s,-0d31m33.53s,pre_post_disc,5,1,4
SDSS-II_SN_11771-NUV.fits.gz,SDSS-II SN 11771,2005-11-19,1h00m55.35s,-0d31m33.53s,pre_post_disc,5,1,4
SDSS-II_SN_11858-FUV.fits.gz,SDSS-II SN 11858,2005-11-19,0h04m12.396s,0d21m34.13s,pre_post_disc,8,1,7
SDSS-II_SN_11858-NUV.fits.gz,SDSS-II SN 11858,2005-11-19,0h04m12.396s,0d21m34.13s,pre_post_disc,8,1,7
SDSS-II_SN_12076-FUV.fits.gz,SDSS-II SN 12076,2005-11-19,2h00m31.752s,-0d57m13.9176s,pre_post_disc,4,2,2
SDSS-II_SN_12076-NUV.fits.gz,SDSS-II SN 12076,2005-11-19,2h00m31.752s,-0d57m13.9176s,pre_post_disc,4,2,2
SDSS-II_SN_12213-FUV.fits.gz,SDSS-II SN 12213,2005-11-07,23h02m20.18s,-0d38m46.9s,pre_post_disc,7,4,3
SDSS-II_SN_12213-NUV.fits.gz,SDSS-II SN 12213,2005-11-07,23h02m20.18s,-0d38m46.9s,pre_post_disc,8,5,3
SDSS-II_SN_12308-FUV.fits.gz,SDSS-II SN 12308,2005-11-13,23h20m42.24s,0d57m54.925s,post_disc,6,0,6
SDSS-II_SN_12308-NUV.fits.gz,SDSS-II SN 12308,2005-11-13,23h20m42.24s,0d57m54.925s,post_disc,7,0,7
SDSS-II_SN_12547-FUV.fits.gz,SDSS-II SN 12547,2005-11-23,0h34m52.9008s,-0d47m52.1772s,post_disc,5,0,5
SDSS-II_SN_12547-NUV.fits.gz,SDSS-II SN 12547,2005-11-23,0h34m52.9008s,-0d47m52.1772s,post_disc,5,0,5
SDSS-II_SN_12804-FUV.fits.gz,SDSS-II SN 12804,2006-08-28,1h12m48.408s,1d02m24.61s,pre_post_disc,8,1,7
SDSS-II_SN_12804-NUV.fits.gz,SDSS-II SN 12804,2006-08-28,1h12m48.408s,1d02m24.61s,pre_post_disc,13,1,12
SDSS-II_SN_1282-FUV.fits.gz,SDSS-II SN 1282,2005-09-12,21h19m51.84s,0d30m40.806s,pre_post_disc,4,3,1
SDSS-II_SN_1282-NUV.fits.gz,SDSS-II SN 1282,2005-09-12,21h19m51.84s,0d30m40.806s,pre_post_disc,5,3,2
SDSS-II_SN_1285-FUV.fits.gz,SDSS-II SN 1285,2005-09-12,21h27m07.92s,0d32m35.502s,post_disc,6,0,6
SDSS-II_SN_1285-NUV.fits.gz,SDSS-II SN 1285,2005-09-12,21h27m07.92s,0d32m35.502s,post_disc,6,0,6
SDSS-II_SN_12852-NUV.fits.gz,SDSS-II SN 12852,2006-08-27,20h57m00.73s,0d41m20.9s,pre_post_disc,7,6,1
