File,Category,Total Epochs,Epochs Pre-SN,Epochs Post-SN
ESSENCEm193-NUV.fits.gz,post_disc,10,nan,nan
ESSENCEm226-FUV.fits.gz,single,1,1,0
ESSENCEm226-NUV.fits.gz,pre_post_disc,39,1,38
ESSENCEn246-FUV.fits.gz,pre_post_disc,5,nan,nan
ESSENCEn246-NUV.fits.gz,pre_post_disc,9,nan,nan
ESSENCEn256-FUV.fits.gz,pre_disc,2,2,0
ESSENCEn256-NUV.fits.gz,pre_disc,10,10,0
ESSENCEn258-FUV.fits.gz,single,1,1,0
ESSENCEn258-NUV.fits.gz,pre_disc,43,nan,nan
ESSENCEn263-FUV.fits.gz,pre_disc,2,2,0
ESSENCEn263-NUV.fits.gz,pre_post_disc,40,2,38
ESSENCEn285-FUV.fits.gz,pre_disc,4,4,0
ESSENCEn285-NUV.fits.gz,pre_disc,12,12,0
ESSENCEn322-FUV.fits.gz,post_disc,7,0,7
ESSENCEn322-NUV.fits.gz,post_disc,13,0,13
ESSENCEn404-FUV.fits.gz,post_disc,3,0,3
ESSENCEn404-NUV.fits.gz,post_disc,8,0,8
ESSENCEn406-FUV.fits.gz,post_disc,3,nan,nan
ESSENCEn406-NUV.fits.gz,post_disc,8,nan,nan
ESSENCEp434-FUV.fits.gz,unknown,3,nan,nan
ESSENCEp434-NUV.fits.gz,unknown,12,nan,nan
ESSENCEp445-FUV.fits.gz,pre_disc,9,9,0
ESSENCEp445-NUV.fits.gz,pre_disc,19,19,0
ESSENCEp454-FUV.fits.gz,pre_post_disc,3,nan,nan
ESSENCEp454-NUV.fits.gz,pre_post_disc,10,nan,nan
ESSENCEp455-FUV.fits.gz,single,1,0,1
ESSENCEp455-NUV.fits.gz,post_disc,12,0,12
ESSENCEp459-FUV.fits.gz,single,1,0,1
ESSENCEp459-NUV.fits.gz,post_disc,55,nan,nan
ESSENCEp520-FUV.fits.gz,pre_post_disc,3,1,2
ESSENCEp520-NUV.fits.gz,pre_post_disc,18,1,17
ESSENCEp524-FUV.fits.gz,pre_disc,3,nan,nan
ESSENCEp524-NUV.fits.gz,pre_post_disc,12,nan,nan
ESSENCEp527-FUV.fits.gz,pre_disc,3,3,0
ESSENCEp527-NUV.fits.gz,pre_post_disc,10,3,7
ESSENCEp528-FUV.fits.gz,pre_post_disc,3,1,2
ESSENCEp528-NUV.fits.gz,pre_post_disc,12,1,11
ESSENCEp534-FUV.fits.gz,pre_disc,3,3,0
ESSENCEp534-NUV.fits.gz,pre_disc,12,12,0
ESSENCEq002-FUV.fits.gz,pre_post_disc,3,1,2
ESSENCEq002-NUV.fits.gz,pre_post_disc,12,1,11
ESSENCEq006-FUV.fits.gz,pre_post_disc,3,nan,nan
ESSENCEq006-NUV.fits.gz,pre_post_disc,13,nan,nan
ESSENCEq018-FUV.fits.gz,post_disc,4,0,4
ESSENCEq018-NUV.fits.gz,post_disc,12,0,12
ESSENCEq021-FUV.fits.gz,pre_post_disc,6,4,2
ESSENCEq021-NUV.fits.gz,pre_post_disc,11,4,7
ESSENCEs354-FUV.fits.gz,pre_disc,2,nan,nan
ESSENCEs354-NUV.fits.gz,pre_disc,65,nan,nan
ESSENCEs380-FUV.fits.gz,single,1,1,0
ESSENCEs380-NUV.fits.gz,pre_post_disc,58,1,57
ESSENCEx039-FUV.fits.gz,pre_post_disc,2,nan,nan
ESSENCEx039-NUV.fits.gz,pre_post_disc,13,nan,nan
ESSENCEx093-FUV.fits.gz,pre_disc,7,nan,nan
ESSENCEx093-NUV.fits.gz,pre_disc,14,nan,nan
Frida-FUV.fits.gz,post_disc,25,nan,nan
Frida-NUV.fits.gz,post_disc,51,nan,nan
Gabe-FUV.fits.gz,pre_disc,25,25,0
Gabe-NUV.fits.gz,pre_post_disc,27,25,2
Gabi-FUV.fits.gz,pre_post_disc,82,44,38
Gabi-NUV.fits.gz,pre_post_disc,131,77,54
Gaia14acg-FUV.fits.gz,single,1,0,1
Gaia14acg-NUV.fits.gz,post_disc,2,0,2
Gaia14acy-NUV.fits.gz,pre_post_disc,6,1,5
Gaia15aaa-FUV.fits.gz,pre_disc,2,2,0
Gaia15aaa-NUV.fits.gz,pre_disc,2,2,0
Hadrian-FUV.fits.gz,pre_disc,2,2,0
Hadrian-NUV.fits.gz,pre_disc,2,2,0
Hawk-FUV.fits.gz,pre_disc,81,81,0
Hawk-NUV.fits.gz,pre_disc,130,130,0
HFF14Jan-FUV.fits.gz,post_disc,2,0,2
HFF14Jan-NUV.fits.gz,post_disc,3,0,3
HFF14Tom-NUV.fits.gz,unknown,5,nan,nan
HST04Man-FUV.fits.gz,post_disc,81,nan,nan
HST04Man-NUV.fits.gz,post_disc,130,nan,nan
HST04Sas-FUV.fits.gz,pre_post_disc,82,44,38
HST04Sas-NUV.fits.gz,pre_post_disc,131,77,54
HST05Dic-FUV.fits.gz,pre_post_disc,81,55,26
HST05Dic-NUV.fits.gz,pre_post_disc,130,102,28
HST05Fer-FUV.fits.gz,pre_post_disc,81,22,59
HST05Fer-NUV.fits.gz,pre_post_disc,130,55,75
HST05Koe-FUV.fits.gz,post_disc,81,0,81
HST05Koe-NUV.fits.gz,post_disc,130,0,130
HST05Lan-FUV.fits.gz,pre_disc,82,82,0
HST05Lan-NUV.fits.gz,pre_post_disc,131,129,2
iPTF13acq-FUV.fits.gz,pre_disc,137,nan,nan
iPTF13acq-NUV.fits.gz,pre_disc,177,nan,nan
iPTF13adg-FUV.fits.gz,single,1,1,0
iPTF13adg-NUV.fits.gz,pre_disc,3,nan,nan
iPTF13adm-FUV.fits.gz,pre_disc,2,nan,nan
iPTF13adm-NUV.fits.gz,pre_disc,3,nan,nan
iPTF13adw-FUV.fits.gz,single,1,1,0
iPTF13adw-NUV.fits.gz,single,1,1,0
iPTF13aeo-NUV.fits.gz,pre_disc,2,nan,nan
iPTF13agl-FUV.fits.gz,single,1,1,0
iPTF13agl-NUV.fits.gz,pre_disc,3,nan,nan
iPTF13aia-FUV.fits.gz,pre_disc,7,7,0
iPTF13aia-NUV.fits.gz,pre_disc,10,10,0
iPTF13aie-FUV.fits.gz,single,1,1,0
iPTF13aie-NUV.fits.gz,pre_disc,3,3,0
iPTF13aif-FUV.fits.gz,single,1,1,0
iPTF13aif-NUV.fits.gz,pre_disc,2,2,0
iPTF13aij-FUV.fits.gz,single,1,1,0
iPTF13aij-NUV.fits.gz,single,1,1,0
iPTF13akb-FUV.fits.gz,pre_disc,2,2,0
iPTF13akb-NUV.fits.gz,pre_disc,2,2,0
iPTF13akl-FUV.fits.gz,pre_disc,2,2,0
iPTF13akl-NUV.fits.gz,pre_disc,2,2,0
iPTF13dkj-FUV.fits.gz,pre_disc,2,2,0
