name,objname,ra,dec,z,z_err,v_helio,v_helio_err,h_dist,h_dist_err,z_indep_dist,type,morph,a_v,a_k,posn_ref,z_ref,sep,offset,host,galex_ra,galex_dec,morph_ref
HST05Koe,MIPS J123622.9+621822.7,12h36m22.951s,+62d18m22.86s,1.23,,368744.775,,5269.49,368.86,9.0,G,,0.033,0.004,2010ApJ...720..368X,2007ApJ...659...98R,0.006999999999999999,14.721692580348366,[RSC2007] J123622.92+621823.20,12h36m22.92s,62d18m23.2s,
HST05Lan,S-CANDELS J123656.72+621252.5 ,12h36m56.720s,+62d12m52.50s,1.23407,0.00033,369964.930475,98.931525,5286.93,370.09,13.0,G,,0.033,0.004,2002AJ....123.1163B,2004AJ....127.3121W,0.013999999999999999,21.28217297729832,GOODS J123656.59+621253.1,12h36m56.72s,62d12m53.33s,
Hawk,ACS-GC 50015503,12h35m41.000s,+62d11m36.13s,0.49673,0.00033,148915.928525,98.931525,2129.09,149.04,5.0,G,,0.031,0.003,2011A&A...528A..35M,2004AJ....127.3121W,0.026000000000000002,27.078604832065892,GOODS J123540.97+621136.5,12h35m41.16s,62d11m37.19s,
K0509-001,WISEA J212616.26-003314.1,21h26m16.253s,-00d33m14.13s,0.2136,0.0005,64035.678,149.89625,910.09,63.74,,G,,0.146,0.016,2007SDSS6.C...0000:,2011ApJ...738..162S,0.006999999999999999,2.024703601112296,SDSS J12616.25-003314.1,21h26m16.232s,-0d33m14.46s,
Lauren,GALEXMSC J033744.44-284353.6  ,03h37m44.51s,-28d43m54.6s,0.821,,246129.6425,,3514.6,246.02,,G,,0.03,0.003,2012ApJ...746...85S,2012ApJ...746...85S,0.0,0.6150535292449463,,3h37m44.512s,-28d43m54.58s,
McGuire,CANDELS J033209.89-274951.4,03h32m09.896s,-27d49m51.39s,1.37,,410715.725,,5865.7,410.6,10.0,G,,0.023,0.003,2001A&A...377..442W,2007ApJ...659...98R,0.036000000000000004,66.43932941205655,COMBO-17 29383,3h32m10.02s,-27d49m49.98s,
Noa,WISEA J122925.72+015057.3,12h29m25.65s,+01d50m56.6s,1.092,,327373.41,,4681.7,327.72,,G,,0.054000000000000006,0.006,2012ApJ...746...85S,2012ApJ...746...85S,0.0,1.4349960823304295,[SRG2009] 20014,12h29m25.654s,1d50m56.58s,
PS0909010,SN 2009kt,02h28m28.370s,-04d04m44.10s,,,,,,,,SN,,0.07,0.008,2009CBET.2012A...1R,,0.0,,,2h28m28.368s,-4d04m44.08s,
PS1-1000004,PS1-10d,03h33m27.9480s,-28d22m17.479s,0.231,0.001,69252.0675,299.7925,987.69,69.27,2.0,SN,,0.023,0.003,2014ApJ...795...44R,2014ApJ...795...44R,0.0,0.004799655410404279,,3h33m27.948s,-28d22m17.48s,
PS1-1000005,PS1-10e,09h58m59.7581s,+03d09m27.112s,0.245,0.001,73449.1625,299.7925,1054.23,73.92,2.0,SN,,0.061,0.006999999999999999,2014ApJ...795...44R,2014ApJ...795...44R,0.0,0.01272635892554624,,9h58m59.758s,3d09m27.11s,
PS1-1000007,PS1-10g,02h23m30.7111s,-04d38m10.759s,0.13699999999999998,0.001,41071.5725,299.7925,583.27,41.05,2.0,SN,,0.071,0.008,2014ApJ...795...44R,2014ApJ...795...44R,0.0,0.005131689016227213,,2h23m30.711s,-4d38m10.76s,
