Name,Disc. Date,mmax,Host Name,R.A.,Dec.,z,Type,Phot.,Spec.,Radio,X-ray,NUVexpt,FUVexpt
SN2006ps,2006/11/14,19.13,SDSS J14345.30-010642.8,"01:43:45.312,01:43:45.288,01:43:45.30","-01:06:42.62,-01:06:42.912,-01:06:43.164,-01:06:42.9",0.101,Ia,25.0,2.0,,,2561.0,2561.0
OGLE-2014-SN-078,2014/09/26,19.13,,02:38:39.31,-76:00:10.9,0.09,Ia,24.0,1.0,,,211.0,211.0
SN1996aj,1996/06/15,19.13,Abell 3559,"13:29:06.82,13:29:06.821","-29:14:02.0,-29:14:02.00","0.11,0.105",Ia,10.0,,,,225.0,110.0
LSQ12ca,2012/01/15,19.14,,05:31:03.62,"-19:47:59.1,-19:47:59.28",0.098,Ia,70.0,,,,0.0,0.0
PTF10zbn,2010/10/28,19.14,,"01:30:14.87,01:30:14.88","+29:40:42.5,+29:40:42.6",0.114,Ia,52.0,1.0,,,0.0,0.0
SN2007ht,2007/09/02,19.14,SDSS J03434.00-011257.5,"00:34:33.81,00:34:33.8304,00:34:33.8496","-01:13:03.1,-01:13:03.288,-01:13:03.252",0.072753,Ia,30.0,,,,3835.0,3835.0
PTF11ai,2010/12/27,19.16,,"12:59:48.19,12:59:48.24","+22:24:12.1,+22:24:12.24",0.09,Ia,50.0,1.0,,,94.0,94.0
PTF12gpd,2012/07/11,19.16,,"14:36:27.24,14:36:27.12","+07:15:08.4,+07:15:08.388",0.116,Ia,32.0,1.0,,,188.0,188.0
PTF10fej,2010/03/25,19.16,,"16:06:19.32,16:06:19.44","+53:55:16.8,+53:55:16.68",0.11,Ia,30.0,1.0,,,22862.0,9290.0
PTF12eqx,2012/05/20,19.16,,"15:15:34.84,15:15:34.8","+40:20:36.9,+40:20:36.96",0.1115,Ia,15.0,1.0,,,171.0,171.0
PTF10one,2010/07/09,19.18,,"01:47:31.81,01:47:31.8","+35:53:53.9,+35:53:53.88",0.099,Ia,99.0,1.0,,,108.0,108.0
SN2007mm,2007/10/09,19.18,SDSS J10546.41-004534.1,"01:05:46.67,01:05:46.656,01:05:46.68","-00:45:31.8,-00:45:32.04,-00:45:31.8024,-00:45:32.0508,-00:45:31.80","0.066,0.068921,0.067",Ia,89.0,,,,3631.0,3631.0
PTF10wor,2010/09/18,19.18,,"22:32:41.67,22:32:41.52","-09:27:46.8,-09:27:56.736","0.0568,0.0568",Ia,4.0,1.0,,,3048.0,3048.0
SN2005ed,2005/09/09,19.19,SDSS J00249.43+004506.7,"00:02:49.36,00:02:49.4,00:02:49.37,00:02:49.369","+00:45:04.8,+00:45:05,+00:45:04.572,+00:45:04.4424,+00:45:04.1868,+00:45:04.3","0.08658,0.086341",Ia,32.0,,,,4102.0,4102.0
PSc020148,2010/02/19,19.19,,10:38:21.977,+57:23:24.29,,Ia,28.0,,,,117.0,117.0
PS1-11mz,2011/03/13,19.2,,"12:14:57.100,12:14:57.098,12:14:57.099","+46:50:42.15,+46:50:42.16",0.10217,Ia,121.0,,,,1764.0,119.0
LSQ12aor,2012/02/25,19.2,,"10:55:17.63,10:55:17.64","-14:18:01.3,-14:18:01.38",0.093,Ia,118.0,,,,201.0,201.0
SN2007pf,2007/10/29,19.2,SDSS J21143.27+003445.5,"22:11:43.200,22:11:43.2,22:11:43.32","+00:34:45.68,+00:34:44.674,+00:34:44.605,+00:34:44.6",0.134,Ia,43.0,1.0,,,3533.0,3533.0
PTF10xua,2010/09/30,19.2,,"08:18:37.04,08:18:36.96","+22:20:12.6,+22:20:12.48",0.09346,Ia,42.0,1.0,,,1823.0,1823.0
SN2006fd,2006/08/27,19.2,SDSS J03753.43+011309.9,"20:37:53.25,20:37:53.28","+01:13:16.1,+01:13:16.032,+01:13:15.744",0.079948,Ia,32.0,1.0,,,768.0,427.0
CSS130924:004234+151746,2013/09/24,19.2,,"00:42:33.82,00:42:33.88","+15:17:45.8,+15:17:45.7,+15:17:45.1",0.08,Ia,5.0,,,,2166.0,2017.0
PS1-12qn,2012/02/02,19.2,,"11:44:53.81,11:44:53.76","+09:11:07.3,+09:11:07.404",0.101,Ia,3.0,,,,251.0,251.0
SN2003au,2003/02/17,19.2,NGC 6095,"16:11:11.56,16:11:11.561,16:11:11.568","+61:15:58.2,+61:15:58.21,+61:15:58.29",0.03084,Ia,2.0,1.0,,,0.0,0.0
SN1999au,1999/03/09,19.2,A085858-0722,"08:58:57.96,08:58:58.01,08:58:58.010","-07:22:10.1,-07:22:09.9,-07:22:09.91","0.124,0.12,0.124",Ia,1.0,,,,102.0,102.0
SN1999cg,1999/04/15,19.2,A124317+7613,"12:43:17.550,12:43:17.55,12:43:17.551","+76:13:58.90,+76:13:58.9,+79:13:58.91","0.14,0.136",Ia,1.0,,,,121.0,121.0
SN1999cj,1999/04/17,19.2,A101402-0014,"10:14:02.46,10:14:02.460","-00:14:02.5,-00:14:02.51","0.36,0.36",Ia,1.0,,,,2699.0,229.0
SN2000bx,2000/04/06,19.2,A134855-0618,"13:48:55.52,13:48:55.53,13:48:55.531","-06:18:36.5,-06:18:35.9,-06:18:35.89","0.09,0.09",Ia,1.0,,,,3753.0,1816.0
SN2003ey,2003/05/24,19.2,A142003-0828,"14:20:03.28,14:20:03.281,14:20:03.288","-08:28:40.0,-08:28:40.01,-08:28:40.09","0.065,0.065",Ia,1.0,,,,112.0,112.0
SN2005kv,2005/11/19,19.2,A083411+0616,08:34:11.15,+06:16:34.9,0.072,Ia,1.0,,,,0.0,0.0
SN2005S,2005/01/22,19.2,UGC 9037,14:08:28.84,+07:03:27.2,0.02,Ia,1.0,,,,1661.0,1661.0
SN2006ig,2006/09/11,19.2,A041021+1328,04:10:21.09,+13:28:24.4,"0.04,0.04",Ia,1.0,,,,0.0,0.0
SN2006ik,2006/09/13,19.2,A012606-0543,01:26:06.33,-05:43:57.0,"0.1,0.1",Ia,1.0,,,,107.0,107.0
SN2006qy,2006/10/23,19.2,A234536-1211,23:45:36.12,-12:11:55.0,"0.1,0.1",Ia,1.0,,,,386.0,386.0
SN2007df,2007/04/08,19.2,A122943-1443,12:29:43.73,-14:43:11.3,"0.1,0.1",Ia,1.0,,,,221.0,221.0
SN2007fh,2007/07/03,19.2,A221641+2118,22:16:41.64,+21:18:58.9,0.08,Ia,1.0,,,,181.0,181.0
SN2007im,2007/08/31,19.2,A222611-1208,22:26:11.78,-12:08:09.7,"0.07,0.07",Ia,1.0,,,,179.0,179.0
SN2009gy,2009/05/23,19.2,A221151-1220,22:11:51.33,-12:20:32.2,"0.11,0.11",Ia,1.0,,,,187.0,94.0
SN2009jj,2009/08/16,19.2,A222707+1714,"22:27:07.86,22:27:07.85","+17:14:36.4,+17:14:36.6","0.107,0.11,0.107",Ia,1.0,,,,672.0,672.0
