,Name,Disc. Date,Band,R.A.,Dec.,Total Epochs,Epochs Pre-SN,Epochs Post-SN,First Epoch,Last Epoch,Next Epoch,File
88,Caleb,2005-12-12,FUV,14h32m28.748s,33d32m10.05s,2,0,2,-123,503,123,Caleb-FUV.fits.gz
89,Caleb,2005-12-12,NUV,14h32m28.748s,33d32m10.05s,39,13,26,203,503,123,Caleb-NUV.fits.gz
90,Cayanne,2004-08-27,FUV,12h37m27.11s,62d12m07.68s,82,44,38,214,1362,545,Cayanne-FUV.fits.gz
91,Cayanne,2004-08-27,NUV,12h37m27.11s,62d12m07.68s,131,77,54,214,2385,233,Cayanne-NUV.fits.gz
92,CSS091127:094447+083137,2009-11-27,FUV,9h44m47.1s,8d31m37s,1,1,0,1372,-1372,nan,CSS091127_094447+083137-FUV.fits.gz
93,CSS091127:094447+083137,2009-11-27,NUV,9h44m47.1s,8d31m37s,3,1,2,1372,450,427,CSS091127_094447+083137-NUV.fits.gz
94,CSS100912:223118+010516,2010-09-12,FUV,22h31m18.33s,1d05m16s,1,1,0,2209,-2209,nan,CSS100912_223118+010516-FUV.fits.gz
95,CSS100912:223118+010516,2010-09-12,NUV,22h31m18.33s,1d05m16s,2,1,1,2209,395,395,CSS100912_223118+010516-NUV.fits.gz
96,CSS110701:014408+124812,2011-07-01,FUV,1h44m07.99s,12d48m12.1s,3,3,0,2823,-2461,nan,CSS110701_014408+124812-FUV.fits.gz
97,CSS110701:014408+124812,2011-07-01,NUV,1h44m07.99s,12d48m12.1s,3,3,0,2823,-2461,nan,CSS110701_014408+124812-NUV.fits.gz
98,CSS110701:014551+143502,2011-07-01,NUV,1h45m50.5s,14d35m00s,1,0,1,-141,141,142,CSS110701_014551+143502-NUV.fits.gz
99,CSS120415:110518-083453,2012-04-15,FUV,11h05m18.02s,-8d34m53s,2,2,0,1856,-1845,nan,CSS120415_110518-083453-FUV.fits.gz
100,CSS120415:110518-083453,2012-04-15,NUV,11h05m18.02s,-8d34m53s,4,4,0,2567,-1845,nan,CSS120415_110518-083453-NUV.fits.gz
101,CSS120415:170824+030104,2012-04-15,FUV,17h08m24.35s,3d01m03.5s,1,1,0,1762,-1762,nan,CSS120415_170824+030104-FUV.fits.gz
102,CSS120415:170824+030104,2012-04-15,NUV,17h08m24.35s,3d01m03.5s,3,3,0,2459,-1762,nan,CSS120415_170824+030104-NUV.fits.gz
103,CSS120416:091631+075020,2012-04-16,FUV,9h16m30.57s,7d50m20.2s,8,8,0,2974,-1197,nan,CSS120416_091631+075020-FUV.fits.gz
104,CSS120416:091631+075020,2012-04-16,NUV,9h16m30.57s,7d50m20.2s,10,10,0,2998,-776,nan,CSS120416_091631+075020-NUV.fits.gz
105,CSS120418:113531+054254,2012-04-18,NUV,11h35m31.02s,5d42m54.1s,1,1,0,2968,-2968,nan,CSS120418_113531+054254-NUV.fits.gz
106,CSS120917:164704+231612,2012-09-17,FUV,16h47m03.95s,23d16m11.6s,2,2,0,2245,-2245,nan,CSS120917_164704+231612-FUV.fits.gz
107,CSS120917:164704+231612,2012-09-17,NUV,16h47m03.95s,23d16m11.6s,3,3,0,2688,-2245,nan,CSS120917_164704+231612-NUV.fits.gz
108,CSS120925:003040+123156,2012-09-25,FUV,0h30m40.47s,12d31m56.4s,3,3,0,3258,-1788,nan,CSS120925_003040+123156-FUV.fits.gz
109,CSS120925:003040+123156,2012-09-25,NUV,0h30m40.47s,12d31m56.4s,3,3,0,3258,-1788,nan,CSS120925_003040+123156-NUV.fits.gz
110,CSS120926:171458+344754,2012-09-26,FUV,17h14m57.76s,34d47m53.8s,2,2,0,2253,-1908,nan,CSS120926_171458+344754-FUV.fits.gz
111,CSS120926:171458+344754,2012-09-26,NUV,17h14m57.76s,34d47m53.8s,2,2,0,2253,-1908,nan,CSS120926_171458+344754-NUV.fits.gz
112,CSS121005:212556+122328,2012-10-05,NUV,21h25m55.86s,12d23m27.8s,10,10,0,2970,-740,nan,CSS121005_212556+122328-NUV.fits.gz
113,CSS121006:232854+085452,2012-10-06,FUV,23h28m54.48s,8d54m51.6s,3,3,0,3288,-2935,nan,CSS121006_232854+085452-FUV.fits.gz
114,CSS121006:232854+085452,2012-10-06,NUV,23h28m54.48s,8d54m51.6s,4,4,0,3288,-2935,nan,CSS121006_232854+085452-NUV.fits.gz
115,CSS121008:014245+213928,2012-10-08,FUV,1h42m44.76s,21d39m28.4s,2,2,0,3238,-2182,nan,CSS121008_014245+213928-FUV.fits.gz
116,CSS121008:014245+213928,2012-10-08,NUV,1h42m44.76s,21d39m28.4s,2,2,0,3238,-2182,nan,CSS121008_014245+213928-NUV.fits.gz
117,CSS121009:011101-172841,2012-10-09,FUV,1h11m01s,-17d28m41s,2,2,0,2164,-2145,nan,CSS121009_011101-172841-FUV.fits.gz
118,CSS121009:011101-172841,2012-10-09,NUV,1h11m01s,-17d28m41s,2,2,0,2164,-2145,nan,CSS121009_011101-172841-NUV.fits.gz
119,CSS121011:163803+372814,2012-10-11,NUV,16h38m03s,37d28m14s,1,1,0,492,-492,nan,CSS121011_163803+372814-NUV.fits.gz
120,CSS121014:233045-124838,2012-10-14,FUV,23h30m45s,-12d48m38s,4,4,0,2189,-1499,nan,CSS121014_233045-124838-FUV.fits.gz
121,CSS121014:233045-124838,2012-10-14,NUV,23h30m45s,-12d48m38s,4,4,0,2189,-1499,nan,CSS121014_233045-124838-NUV.fits.gz
122,CSS121106:003304+312335,2012-11-06,FUV,0h33m03.8s,31d23m35.3s,1,1,0,2191,-2191,nan,CSS121106_003304+312335-FUV.fits.gz
123,CSS121106:003304+312335,2012-11-06,NUV,0h33m03.8s,31d23m35.3s,1,1,0,2191,-2191,nan,CSS121106_003304+312335-NUV.fits.gz
124,CSS121112:002624+163027,2012-11-12,FUV,0h26m23.86s,16d30m27.4s,2,2,0,2208,-2205,nan,CSS121112_002624+163027-FUV.fits.gz
125,CSS121112:002624+163027,2012-11-12,NUV,0h26m23.86s,16d30m27.4s,2,2,0,2208,-2205,nan,CSS121112_002624+163027-NUV.fits.gz
126,CSS121114:090202+101800,2012-11-14,FUV,9h02m02.34s,10d18m00.1s,4,4,0,2844,-1753,nan,CSS121114_090202+101800-FUV.fits.gz
127,CSS121114:090202+101800,2012-11-14,NUV,9h02m02.34s,10d18m00.1s,4,4,0,2844,-1753,nan,CSS121114_090202+101800-NUV.fits.gz
128,CSS121212:021426+052309,2012-12-12,FUV,2h14m25.79s,5d23m08.8s,3,3,0,2592,-1516,nan,CSS121212_021426+052309-FUV.fits.gz
129,CSS121212:021426+052309,2012-12-12,NUV,2h14m25.79s,5d23m08.8s,5,5,0,3289,-1516,nan,CSS121212_021426+052309-NUV.fits.gz
130,CSS121212:025025+070218,2012-12-12,FUV,2h50m25s,7d02m18s,1,1,0,1880,-1880,nan,CSS121212_025025+070218-FUV.fits.gz
131,CSS121212:025025+070218,2012-12-12,NUV,2h50m25s,7d02m18s,1,1,0,1880,-1880,nan,CSS121212_025025+070218-NUV.fits.gz
132,CSS130217:101310-163154,2013-02-17,FUV,10h13m10.26s,-16d31m53.6s,2,2,0,2537,-1852,nan,CSS130217_101310-163154-FUV.fits.gz
133,CSS130217:101310-163154,2013-02-17,NUV,10h13m10.26s,-16d31m53.6s,3,3,0,2896,-1852,nan,CSS130217_101310-163154-NUV.fits.gz
134,CSS130218:092354+385837,2013-02-18,FUV,9h23m53.52s,38d58m36.8s,2,2,0,2903,-2191,nan,CSS130218_092354+385837-FUV.fits.gz
135,CSS130218:092354+385837,2013-02-18,NUV,9h23m53.52s,38d58m36.8s,3,3,0,2903,-2191,nan,CSS130218_092354+385837-NUV.fits.gz
136,CSS130307:134411+030344,2013-03-07,NUV,13h44m10.8s,3d03m44.2s,3,3,0,3246,-1027,nan,CSS130307_134411+030344-NUV.fits.gz
137,CSS130317:082848+293031,2013-03-17,FUV,8h28m47.78s,29d30m30.8s,2,2,0,2584,-1872,nan,CSS130317_082848+293031-FUV.fits.gz
138,CSS130317:082848+293031,2013-03-17,NUV,8h28m47.78s,29d30m30.8s,2,2,0,2584,-1872,nan,CSS130317_082848+293031-NUV.fits.gz
139,CSS130318:133316+605531,2013-03-18,NUV,13h33m15.7s,60d55m30.5s,2,2,0,2935,-2887,nan,CSS130318_133316+605531-NUV.fits.gz
140,CSS130401:125031+090817,2013-04-01,NUV,12h50m31.4s,9d08m16.9s,3,3,0,3287,-1099,nan,CSS130401_125031+090817-NUV.fits.gz
141,CSS130401:173433+434219,2013-04-01,FUV,17h34m32.5s,43d42m18.8s,2,2,0,3199,-3170,nan,CSS130401_173433+434219-FUV.fits.gz
142,CSS130401:173433+434219,2013-04-01,NUV,17h34m32.5s,43d42m18.8s,4,4,0,3199,-1335,nan,CSS130401_173433+434219-NUV.fits.gz
143,CSS130413:130441+315257,2013-04-13,FUV,13h04m41.07s,31d52m56.6s,2,2,0,3298,-2194,nan,CSS130413_130441+315257-FUV.fits.gz
144,CSS130413:130441+315257,2013-04-13,NUV,13h04m41.07s,31d52m56.6s,2,2,0,3298,-2194,nan,CSS130413_130441+315257-NUV.fits.gz
145,CSS130413:163836+260935,2013-04-13,FUV,16h38m35.62s,26d09m34.6s,2,2,0,2454,-2191,nan,CSS130413_163836+260935-FUV.fits.gz
146,CSS130413:163836+260935,2013-04-13,NUV,16h38m35.62s,26d09m34.6s,5,5,0,2894,-1380,nan,CSS130413_163836+260935-NUV.fits.gz
147,CSS130421:145636+174410,2013-04-10,FUV,14h56m35.87s,17d44m12.6s,1,1,0,2140,-2140,nan,CSS130421_145636+174410-FUV.fits.gz
148,CSS130421:145636+174410,2013-04-10,NUV,14h56m35.87s,17d44m12.6s,1,1,0,2140,-2140,nan,CSS130421_145636+174410-NUV.fits.gz
149,CSS130502:102512+302715,2013-05-02,FUV,10h25m12.31s,30d27m14.5s,4,4,0,3297,-2993,nan,CSS130502_102512+302715-FUV.fits.gz
150,CSS130502:102512+302715,2013-05-02,NUV,10h25m12.31s,30d27m14.5s,4,4,0,3297,-2993,nan,CSS130502_102512+302715-NUV.fits.gz
151,CSS130502:114010+300146,2013-05-02,FUV,11h40m10.06s,30d01m45.7s,1,1,0,2262,-2262,nan,CSS130502_114010+300146-FUV.fits.gz
152,CSS130502:114010+300146,2013-05-02,NUV,11h40m10.06s,30d01m45.7s,1,1,0,2262,-2262,nan,CSS130502_114010+300146-NUV.fits.gz
153,CSS130502:115738+333229,2013-05-02,FUV,11h57m37.57s,33d32m28.9s,1,1,0,2230,-2230,nan,CSS130502_115738+333229-FUV.fits.gz
154,CSS130502:115738+333229,2013-05-02,NUV,11h57m37.57s,33d32m28.9s,1,1,0,2230,-2230,nan,CSS130502_115738+333229-NUV.fits.gz
155,CSS130509:121714+121504,2013-05-09,NUV,12h17m14.03s,12d15m03.6s,3,3,0,2225,-743,nan,CSS130509_121714+121504-NUV.fits.gz
156,CSS130509:165032+494344,2013-05-09,FUV,16h50m31.97s,49d43m44s,2,2,0,3204,-3195,nan,CSS130509_165032+494344-FUV.fits.gz
157,CSS130509:165032+494344,2013-05-09,NUV,16h50m31.97s,49d43m44s,2,2,0,3204,-3195,nan,CSS130509_165032+494344-NUV.fits.gz
158,CSS130512:144703+034951,2013-05-12,FUV,14h47m02.96s,3d49m50.7s,3,3,0,3609,-3264,nan,CSS130512_144703+034951-FUV.fits.gz
159,CSS130512:144703+034951,2013-05-12,NUV,14h47m02.96s,3d49m50.7s,3,3,0,3609,-3264,nan,CSS130512_144703+034951-NUV.fits.gz
160,CSS130905:015812-041446,2013-09-05,FUV,1h58m12.36s,-4d14m46.1s,2,2,0,3254,-3243,nan,CSS130905_015812-041446-FUV.fits.gz
161,CSS130905:015812-041446,2013-09-05,NUV,1h58m12.36s,-4d14m46.1s,3,3,0,3254,-1425,nan,CSS130905_015812-041446-NUV.fits.gz
162,CSS130913:013913-025241,2013-09-13,FUV,1h39m13.01s,-2d52m40.6s,1,1,0,3593,-3593,nan,CSS130913_013913-025241-FUV.fits.gz
163,CSS130913:013913-025241,2013-09-13,NUV,1h39m13.01s,-2d52m40.6s,1,1,0,3593,-3593,nan,CSS130913_013913-025241-NUV.fits.gz
164,CSS130924:004234+151746,2013-09-24,FUV,0h42m33.82s,15d17m45.8s,2,2,0,3677,-3622,nan,CSS130924_004234+151746-FUV.fits.gz
165,CSS130924:004234+151746,2013-09-24,NUV,0h42m33.82s,15d17m45.8s,2,2,0,3677,-3622,nan,CSS130924_004234+151746-NUV.fits.gz
166,CSS130925:225818-090644,2013-09-25,FUV,22h58m17.85s,-9d06m44.5s,1,1,0,3690,-3690,nan,CSS130925_225818-090644-FUV.fits.gz
167,CSS130925:225818-090644,2013-09-25,NUV,22h58m17.85s,-9d06m44.5s,2,2,0,3690,-3302,nan,CSS130925_225818-090644-NUV.fits.gz
168,CSS130930:020518+000556,2013-09-28,FUV,2h05m17.91s,0d05m55.6s,2,2,0,1802,-1802,nan,CSS130930_020518+000556-FUV.fits.gz
169,CSS130930:020518+000556,2013-09-28,NUV,2h05m17.91s,0d05m55.6s,2,2,0,1802,-1802,nan,CSS130930_020518+000556-NUV.fits.gz
170,CSS131003:030909-113532,2013-10-03,FUV,3h09m09.09s,-11d35m31.5s,4,4,0,2886,-2174,nan,CSS131003_030909-113532-FUV.fits.gz
171,CSS131003:030909-113532,2013-10-03,NUV,3h09m09.09s,-11d35m31.5s,4,4,0,2886,-2174,nan,CSS131003_030909-113532-NUV.fits.gz
172,CSS131004:231555+224932,2013-10-04,FUV,23h15m54.63s,22d49m32.1s,2,2,0,3336,-3335,nan,CSS131004_231555+224932-FUV.fits.gz
173,CSS131004:231555+224932,2013-10-04,NUV,23h15m54.63s,22d49m32.1s,3,3,0,3336,-2967,nan,CSS131004_231555+224932-NUV.fits.gz
